"","x"
"1",0
"2",0.982228398323059
"3",0
"4",0
"5",0.881230115890503
"6",0.93672776222229
"7",0
"8",0.786216139793396
"9",0
"10",0
"11",0.927430510520935
"12",0
"13",0
"14",0.729176700115204
"15",0
"16",0.45435631275177
"17",0
"18",0
"19",0
"20",0.711751818656921
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.524261355400085
"27",0
"28",0
"29",0.289140284061432
"30",0
"31",0.626731693744659
"32",0
"33",0.696231484413147
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0.924512267112732
"40",0
"41",0.776565670967102
"42",0
"43",0
"44",0
"45",0.537380993366241
"46",0.942060351371765
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0.606907546520233
"53",0
"54",0
"55",0
"56",0
"57",0.522371709346771
"58",0
"59",0.481884568929672
"60",0.114969275891781
"61",0.156890675425529
"62",0.684162080287933
"63",0
"64",0.444450706243515
"65",0.614599645137787
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0.221332594752312
"73",0
"74",0.490746706724167
"75",0.488438755273819
"76",0.0671106800436974
"77",0
"78",0.0783909633755684
"79",0
"80",0.659182906150818
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0.976868391036987
"92",0.12890662252903
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0.969100952148438
"99",0
"100",0.885668337345123
"101",0
"102",0
"103",0.362109571695328
"104",0.822955369949341
"105",0.631574392318726
"106",0
"107",0
"108",0.554793417453766
"109",0.933486819267273
"110",0.967321574687958
"111",0
"112",0.36397996544838
"113",0
"114",0
"115",0
"116",0.990378677845001
"117",0
"118",0
"119",0
"120",0
"121",0.873085558414459
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0.635863959789276
"135",0.511563122272491
"136",0.613700568675995
"137",0.688880145549774
"138",0
"139",0
"140",0
"141",0
"142",0.536259889602661
"143",0
"144",0
"145",0
"146",0.183900862932205
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0.73088127374649
"156",0
"157",0
"158",0.336930900812149
"159",0
"160",0
"161",0
"162",0
"163",0.8797367811203
"164",0
"165",0.974740624427795
"166",0
"167",0.92975652217865
"168",0
"169",0
"170",0
"171",0.823297441005707
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0.714629590511322
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0.948554217815399
"190",0
"191",0
"192",0
"193",0.0188906639814377
"194",0
"195",0.402538061141968
"196",0
"197",0
"198",0.505147159099579
"199",0.46045583486557
"200",0.561898946762085
"201",0
"202",0
"203",0.455929338932037
"204",0.545918345451355
"205",0.835468769073486
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0.214620620012283
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0.946714639663696
"222",0
"223",0.00526263657957315
"224",0
"225",0.620293080806732
"226",0.897965788841248
"227",0.9243243932724
"228",0.230168670415878
"229",0.367111831903458
"230",0
"231",0.26577216386795
"232",0
"233",0.777206540107727
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0.699457406997681
"243",0
"244",0.156960651278496
"245",0.394727766513824
"246",0
"247",0
"248",0.425647348165512
"249",0
"250",0
"251",0
"252",0.821413516998291
"253",0.733100175857544
"254",0.598317980766296
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0.607097983360291
"264",0.972375988960266
"265",0.304970920085907
"266",0.820354104042053
"267",0
"268",0.960166811943054
"269",0
"270",0
"271",0.473696768283844
"272",0
"273",0.751777529716492
"274",0.842435896396637
"275",0.60854971408844
"276",0
"277",0.979345917701721
"278",0
"279",0
"280",0.528281688690186
"281",0
"282",0
"283",0
"284",0.545916140079498
"285",0.618888854980469
"286",0.793779313564301
"287",0
"288",0
"289",0
"290",0
"291",0.37207555770874
"292",0.46697273850441
"293",0.99025958776474
"294",0.489592313766479
"295",0.970787644386292
"296",0
"297",0.855500996112823
"298",0
"299",0
"300",0
"301",0
"302",0.842435896396637
"303",0
"304",0.653937637805939
"305",0.840620994567871
"306",0.315571695566177
"307",0
"308",0.0771865919232368
"309",0
"310",0
"311",0
"312",0.528576016426086
"313",0.231724262237549
"314",0.688880145549774
"315",0
"316",0.157169416546822
"317",0
"318",0.430317163467407
"319",0
"320",0
"321",0.270912498235703
"322",0.954122841358185
"323",0
"324",0.348781883716583
"325",0.866771399974823
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0.288785576820374
"333",0.616797268390656
"334",0
"335",0.827979326248169
"336",0.674302935600281
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0.228362590074539
"350",0.910048365592957
"351",0
"352",0
"353",0.394992828369141
"354",0
"355",0
"356",0.684162080287933
"357",0.626606643199921
"358",0
"359",0
"360",0.184926271438599
"361",0
"362",0.949730694293976
"363",0
"364",0.529773414134979
"365",0
"366",0.528870582580566
"367",0.164150804281235
"368",0
