"","x"
"1",0
"2",0.722591817378998
"3",0
"4",0.786070346832275
"5",0
"6",0
"7",0.532715737819672
"8",0
"9",0.836244940757751
"10",0.744997024536133
"11",0
"12",0.424644380807877
"13",0
"14",0.583514630794525
"15",0
"16",0.516800105571747
"17",0
"18",0
"19",0.74705559015274
"20",0.0707464814186096
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0.500375330448151
"28",0
"29",0
"30",0.338887065649033
"31",0.452804684638977
"32",0
"33",0
"34",0
"35",0.63119775056839
"36",0.947942912578583
"37",0
"38",0
"39",0
"40",0
"41",0.645639777183533
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.464170396327972
"54",0.873830258846283
"55",0.870256364345551
"56",0
"57",0
"58",0
"59",0
"60",0.543940305709839
"61",0
"62",0.754098773002625
"63",0.935757040977478
"64",0.359860569238663
"65",0.283615350723267
"66",0.618101179599762
"67",0.88688063621521
"68",0.782153367996216
"69",0
"70",0
"71",0.66801643371582
"72",0.116091541945934
"73",0.505354344844818
"74",0.850376963615417
"75",0.270511984825134
"76",0
"77",0
"78",0
"79",0.267818927764893
"80",0.464005917310715
"81",0
"82",0
"83",0.199925199151039
"84",0
"85",0
"86",0
"87",0.198767095804214
"88",0
"89",0.0953470841050148
"90",0.421336621046066
"91",0.746568322181702
"92",0
"93",0
"94",0
"95",0
"96",0.582656800746918
"97",0
"98",0
"99",0
"100",0.845005929470062
"101",0
"102",0
"103",0.288889020681381
"104",0
"105",0.846605479717255
"106",0
"107",0
"108",0
"109",0.967131078243256
"110",0
"111",0.110337063670158
"112",0
"113",0.807351112365723
"114",0
"115",0
"116",0.825912892818451
"117",0.805223524570465
"118",0
"119",0
"120",0.496213346719742
"121",0
"122",0.134110197424889
"123",0.669672906398773
"124",0.810151219367981
"125",0.828206241130829
"126",0
"127",0.576789677143097
"128",0
"129",0.537475287914276
"130",0.575259745121002
"131",0.0382215566933155
"132",0
"133",0
"134",0.606873869895935
"135",0.977204561233521
"136",0.612543404102325
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0.918941080570221
"143",0.798121333122253
"144",0
"145",0
"146",0.779238283634186
"147",0.831928074359894
"148",0.00839870050549507
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0.559690296649933
"158",0.751596450805664
"159",0
"160",0
"161",0
"162",0
"163",0.521927833557129
"164",0
"165",0
"166",0.845351815223694
"167",0
"168",0.738070487976074
"169",0
"170",0
"171",0
"172",0
"173",0.563516914844513
"174",0
"175",0.779111742973328
"176",0.470893025398254
"177",0
"178",0
"179",0
"180",0.0476039126515388
"181",0
"182",0
"183",0
"184",0.860590934753418
"185",0.78206080198288
"186",0
"187",0.851637423038483
"188",0.0781540721654892
"189",0
"190",0
"191",0
"192",0
"193",0.929071009159088
"194",0
"195",0.267365664243698
"196",0.174358457326889
"197",0.753266096115112
"198",0.632213532924652
"199",0
"200",0
"201",0.48149299621582
"202",0
"203",0
"204",0.0537680238485336
"205",0
"206",0.676265180110931
"207",0.856046378612518
"208",0.589050948619843
"209",0.551891446113586
"210",0
"211",0
"212",0.401973634958267
"213",0.585537970066071
"214",0.410606533288956
"215",0.974479794502258
"216",0
"217",0
"218",0
"219",0.839572429656982
"220",0
"221",0.448096483945847
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0.345644563436508
"228",0
"229",0.795203864574432
"230",0
"231",0
"232",0
"233",0.56152755022049
"234",0.668157935142517
"235",0
"236",0.973716557025909
"237",0.883603036403656
"238",0.349046617746353
"239",0
"240",0
"241",0.152510091662407
"242",0
"243",0.221957638859749
"244",0.7304647564888
"245",0
"246",0
"247",0.892755031585693
"248",0.436254024505615
"249",0
"250",0.920495986938477
"251",0.558575987815857
"252",0.358687847852707
"253",0
"254",0.039512887597084
"255",0.751031637191772
"256",0
"257",0.102396592497826
"258",0.856699407100677
"259",0
"260",0
"261",0
"262",0
"263",0.32622355222702
"264",0.904744207859039
"265",0.712066113948822
"266",0
"267",0.64872282743454
"268",0
"269",0
"270",0
"271",0.911110162734985
"272",0.55692720413208
"273",0.942440032958984
