config_name,_mean
watson,0.010539377031224574
watson_protected_0,0.0035136623823231136
watson_protected_0.016666666666666666,0.010539375344124476
watson_protected_0.03333333333333333,0.010539376486065122
watson_protected_0.05,0.010539376263859762
watson_protected_0.1,0.010539374899221386
watson_protected_0.15000000000000002,0.010539375382233516
watson_protected_0.16666666666666666,0.01053937559534196
watson_protected_0.18333333333333335,0.010539377125979696
watson_protected_0.19,0.010539376698543068
watson_protected_0.2,0.0013966849987195177
