config_name,_mean
watson,0.003684367526468356
watson_protected_0,0.0012562386960417627
watson_protected_0.016666666666666666,0.003684366935938898
watson_protected_0.03333333333333333,0.003684367338070475
watson_protected_0.05,0.0036843672538249494
watson_protected_0.1,0.003684366778537203
watson_protected_0.15000000000000002,0.0036843669490876437
watson_protected_0.16666666666666666,0.0036843670253232544
watson_protected_0.18333333333333335,0.0036843675602392374
watson_protected_0.19,0.0036843674069801527
watson_protected_0.2,0.0004254761524837458
