,index,variable,value
209,suh_improved,41,0.532653
210,asakareh,42,0.0
211,asakareh_improved,42,0.0
212,watson,42,0.0
213,suh,42,0.0
214,suh_improved,42,0.5298648
215,asakareh,43,0.0
216,asakareh_improved,43,0.0
217,watson,43,0.0
218,suh,43,0.0
219,suh_improved,43,0.0
220,asakareh,44,0.0
221,asakareh_improved,44,0.0
222,watson,44,0.000119817276
223,suh,44,0.0
224,suh_improved,44,0.5290743
225,asakareh,45,0.0
226,asakareh_improved,45,0.0
227,watson,45,0.0
228,suh,45,0.0
229,suh_improved,45,0.0
230,asakareh,46,0.0
231,asakareh_improved,46,0.0
232,watson,46,0.0
233,suh,46,0.0
234,suh_improved,46,0.0
235,asakareh,47,0.0
236,asakareh_improved,47,0.0
237,watson,47,0.0
238,suh,47,0.0
239,suh_improved,47,0.5177747
240,asakareh,48,0.0
241,asakareh_improved,48,0.0
242,watson,48,0.0
243,suh,48,0.0
244,suh_improved,48,0.5170888
245,asakareh,49,0.0
246,asakareh_improved,49,0.0
247,watson,49,0.0
248,suh,49,0.0
249,suh_improved,49,0.5535829
250,asakareh,50,0.0
251,asakareh_improved,50,0.0
252,watson,50,0.0
253,suh,50,0.0
254,suh_improved,50,0.0
255,asakareh,51,0.0
256,asakareh_improved,51,0.0
257,watson,51,0.0
258,suh,51,0.0
259,suh_improved,51,0.43423417
260,asakareh,52,0.0
261,asakareh_improved,52,0.0
262,watson,52,0.00037854278
263,suh,52,0.0
264,suh_improved,52,0.7437874
265,asakareh,53,0.0
266,asakareh_improved,53,0.0
267,watson,53,0.0
268,suh,53,0.0
269,suh_improved,53,0.0
270,asakareh,54,0.0
271,asakareh_improved,54,0.0
272,watson,54,0.0093001425
273,suh,54,0.0
274,suh_improved,54,0.66473436
275,asakareh,55,0.0
276,asakareh_improved,55,0.0
277,watson,55,0.0
278,suh,55,0.0
279,suh_improved,55,0.48415387
280,asakareh,56,0.0
281,asakareh_improved,56,0.0
282,watson,56,0.00842493
283,suh,56,0.0
284,suh_improved,56,0.03937224
285,asakareh,57,0.0
286,asakareh_improved,57,0.0
287,watson,57,0.0
288,suh,57,0.0
289,suh_improved,57,0.0
290,asakareh,58,0.0
291,asakareh_improved,58,0.0
292,watson,58,0.0
293,suh,58,0.0
294,suh_improved,58,0.14815395
